level1_title,level2_title,level3_title,level4_title,level1_code,level2_code,level3_code,level4_code
"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Soybean farming,11,111,1111,11111
"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Oilseed (except soybean) farming,11,111,1111,11112
"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Dry pea and bean farming,11,111,1111,11113
"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Wheat farming,11,111,1111,11114
"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Corn farming,11,111,1111,11115
"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Rice farming,11,111,1111,11116
"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Other grain farming,11,111,1111,11119
"Agriculture, forestry, fishing and hunting",Crop production,Vegetable and melon farming,Vegetable and melon farming,11,111,1112,11121
"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Orange groves,11,111,1113,11131
"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Citrus (except orange) groves,11,111,1113,11132
"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Noncitrus fruit and tree nut farming,11,111,1113,11133
"Agriculture, forestry, fishing and hunting",Crop production,"Greenhouse, nursery, and floriculture production",Food crops grown under cover,11,111,1114,11141
"Agriculture, forestry, fishing and hunting",Crop production,"Greenhouse, nursery, and floriculture production",Nursery and floriculture production,11,111,1114,11142
"Agriculture, forestry, fishing and hunting",Crop production,Other crop farming,Tobacco farming,11,111,1119,11191
"Agriculture, forestry, fishing and hunting",Crop production,Other crop farming,Cotton farming,11,111,1119,11192
"Agriculture, forestry, fishing and hunting",Crop production,Other crop farming,Sugarcane farming,11,111,1119,11193
"Agriculture, forestry, fishing and hunting",Crop production,Other crop farming,Hay farming,11,111,1119,11194
"Agriculture, forestry, fishing and hunting",Crop production,Other crop farming,All other crop farming,11,111,1119,11199
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Cattle ranching and farming,"Beef cattle ranching and farming, including feedlots",11,112,1121,11211
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Cattle ranching and farming,Dairy cattle and milk production,11,112,1121,11212
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Hog and pig farming,Hog and pig farming,11,112,1122,11221
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Poultry and egg production,Chicken egg production,11,112,1123,11231
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Poultry and egg production,Broilers and other meat type chicken production,11,112,1123,11232
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Poultry and egg production,Turkey production,11,112,1123,11233
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Poultry and egg production,Poultry hatcheries,11,112,1123,11234
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Poultry and egg production,Other poultry production,11,112,1123,11239
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Sheep and goat farming,Sheep farming,11,112,1124,11241
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Sheep and goat farming,Goat farming,11,112,1124,11242
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Aquaculture,Aquaculture,11,112,1125,11251
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Other animal production,Apiculture,11,112,1129,11291
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Other animal production,Horses and other equine production,11,112,1129,11292
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Other animal production,Fur-bearing animal and rabbit production,11,112,1129,11293
"Agriculture, forestry, fishing and hunting",Animal production and aquaculture,Other animal production,All other animal production,11,112,1129,11299
"Agriculture, forestry, fishing and hunting",Forestry and logging,Timber tract operations,Timber tract operations,11,113,1131,11311
"Agriculture, forestry, fishing and hunting",Forestry and logging,Forest nurseries and gathering of forest products,Forest nurseries and gathering of forest products,11,113,1132,11321
"Agriculture, forestry, fishing and hunting",Forestry and logging,Logging,Logging,11,113,1133,11331
"Agriculture, forestry, fishing and hunting","Fishing, hunting and trapping",Fishing,Fishing,11,114,1141,11411
"Agriculture, forestry, fishing and hunting","Fishing, hunting and trapping",Hunting and trapping,Hunting and trapping,11,114,1142,11421
"Agriculture, forestry, fishing and hunting",Support activities for agriculture and forestry,Support activities for crop production,Support activities for crop production,11,115,1151,11511
"Agriculture, forestry, fishing and hunting",Support activities for agriculture and forestry,Support activities for animal production,Support activities for animal production,11,115,1152,11521
"Agriculture, forestry, fishing and hunting",Support activities for agriculture and forestry,Support activities for forestry,Support activities for forestry,11,115,1153,11531
"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Oil and gas extraction,12  Oil and gas extraction,21,211,2111,21111
"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Oil and gas extraction,Crude petroleum extraction,21,211,2111,21112
"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Oil and gas extraction,Natural gas extraction,21,211,2111,21113
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Coal mining,Coal mining,21,212,2121,21211
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Metal ore mining,Iron ore mining,21,212,2122,21221
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Metal ore mining,Gold ore and silver ore mining,21,212,2122,21222
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Metal ore mining,"Copper, nickel, lead, and zinc mining",21,212,2122,21223
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Metal ore mining,Other metal ore mining,21,212,2122,21229
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Nonmetallic mineral mining and quarrying,Stone mining and quarrying,21,212,2123,21231
