"GEOID","NAME","year","population","new_housing_units_permitted","pop_5yrs_ago","pop_growth_5yr","instant_growth","instant_growth_scaled","rate_growth","rate_growth_scaled","composite_growth"
10180,"Abilene, TX Metro Area",2009,160266,214,NA,NA,0.00133528009683901,3.46827325659286,NA,NA,NA
10180,"Abilene, TX Metro Area",2010,164941,390,NA,NA,0.00236448184502337,6.19805781312551,NA,NA,NA
10180,"Abilene, TX Metro Area",2011,165858,159,NA,NA,0.000958651376478675,2.46932891336764,NA,NA,NA
10180,"Abilene, TX Metro Area",2012,167800,455,NA,NA,0.00271156138259833,7.11862791828908,NA,NA,NA
10180,"Abilene, TX Metro Area",2013,168144,306,NA,NA,0.00181986868398516,4.75356299089146,NA,NA,NA
10180,"Abilene, TX Metro Area",2014,166900,284,160266,0.0413936830020092,0.00170161773517076,4.43992223538524,0.0411081501273556,24.6457599661318,14.5428411007585
10180,"Abilene, TX Metro Area",2015,168922,535,164941,0.0241359031411232,0.0031671422313257,8.32697950465388,0.1312212024057,24.7751433258641,16.551061415259
10180,"Abilene, TX Metro Area",2016,170860,306,165858,0.0301583282084675,0.00179093995083694,4.67683439115155,0.0593845898372478,24.6720010834153,14.6744177372834
10180,"Abilene, TX Metro Area",2017,169747,322,167800,0.0116030989272944,0.00189694074122076,4.95798366152586,0.16348569921769,24.8214683464029,14.8897260039644
10180,"Abilene, TX Metro Area",2018,174006,357,168144,0.0348629745932058,0.00205165339126237,5.36833294778473,0.058849063087755,24.6712321798179,15.0197825638013
10180,"Abilene, TX Metro Area",2019,171795,370,166900,0.0293289394847214,0.00215372973602258,5.63907328611519,0.0734336042782777,24.692172508568,15.1656228973416
10180,"Abilene, TX Metro Area",2021,178608,883,168922,0.0573400741170481,0.00494378751231748,13.0392323346201,0.0862187150687273,24.710529234334,18.8748807844771
10180,"Abilene, TX Metro Area",2022,180982,799,170860,0.0592414842561161,0.00441480368213413,11.6361916840991,0.0745221652963286,24.6937354528721,18.1649635684856
10180,"Abilene, TX Metro Area",2023,180224,462,169747,0.0617212675334468,0.0025634765625,6.72585783635474,0.0415331159735313,24.6463701275631,15.6861139819589
10420,"Akron, OH Metro Area",2009,699935,741,NA,NA,0.00105866973361812,2.73461078562513,NA,NA,NA
10420,"Akron, OH Metro Area",2010,702951,736,NA,NA,0.00104701465678262,2.70369765434948,NA,NA,NA
10420,"Akron, OH Metro Area",2011,701456,1122,NA,NA,0.00159953012020711,4.16915200473547,NA,NA,NA
10420,"Akron, OH Metro Area",2012,702262,618,NA,NA,0.000880013442276529,2.2607550174125,NA,NA,NA
10420,"Akron, OH Metro Area",2013,705686,690,NA,NA,0.000977771983573431,2.52004310818014,NA,NA,NA
10420,"Akron, OH Metro Area",2014,703825,763,699935,0.00555765892547165,0.00108407629737506,2.80199742337676,0.19505988257152,24.8668022222381,13.8343998228074
10420,"Akron, OH Metro Area",2015,704243,967,702951,0.00183796594641732,0.00137310558997392,3.56859901603222,0.747078906793927,25.6593852519352,14.6139921339837
10420,"Akron, OH Metro Area",2016,702221,909,701456,0.00109058871832303,0.00129446427833972,3.36001616200656,1.18694082983931,26.2909343115112,14.8254752367589
10420,"Akron, OH Metro Area",2017,703505,920,702262,0.00176999467435231,0.00130773768487786,3.39522164066447,0.738837073256393,25.6475517152113,14.5213866779379
10420,"Akron, OH Metro Area",2018,704845,1210,705686,-0.00119174817128298,0.00171668948492222,4.47989751698967,-1.44048006641715,22.5185114005837,13.4992044587867
10420,"Akron, OH Metro Area",2019,703479,945,703825,-0.00049159947430114,0.00134332368130392,3.48960751169904,-2.73255719651367,20.663360832509,12.076484172104
10420,"Akron, OH Metro Area",2021,700015,1215,704243,-0.00600360954954469,0.00173567709263373,4.53025895330459,-0.289105591945992,24.1716425957952,14.3509507745499
10420,"Akron, OH Metro Area",2022,697627,3047,702221,-0.00654209999416138,0.00436766352219739,11.5111603374124,-0.66762408494144,23.6281697790797,17.569665058246
10420,"Akron, OH Metro Area",2023,698398,940,703505,-0.00725936560507743,0.00134593741677382,3.49654000548189,-0.185407030034749,24.3205318854182,13.90853594545
10500,"Albany, GA Metro Area",2009,164238,213,NA,NA,0.00129689840353633,3.36647226974451,NA,NA,NA
10500,"Albany, GA Metro Area",2010,162659,248,NA,NA,0.00152466202300518,3.97057696745114,NA,NA,NA
10500,"Albany, GA Metro Area",2011,161617,206,NA,NA,0.00127461838791711,3.30737827513758,NA,NA,NA
10500,"Albany, GA Metro Area",2012,155019,229,NA,NA,0.00147723827401802,3.84479344849929,NA,NA,NA
10500,"Albany, GA Metro Area",2013,156277,257,NA,NA,0.00164451582766498,4.28846902853554,NA,NA,NA
10500,"Albany, GA Metro Area",2014,152596,271,164238,-0.0708849352768543,0.00177593121706991,4.63702624884842,-0.0250537185388359,24.5507654604774,14.5938958546629
10500,"Albany, GA Metro Area",2015,156997,203,162659,-0.0348090176381264,0.00129301833793002,3.35618104823317,-0.0371460737953656,24.5334033857212,13.9447922169772
10500,"Albany, GA Metro Area",2016,152506,230,161617,-0.0563740200597709,0.00150813738475863,3.92674814344526,-0.0267523476800061,24.5483265868662,14.2375373651557
10500,"Albany, GA Metro Area",2017,151754,416,155019,-0.0210619343435321,0.00274127864833876,7.19744796812256,-0.13015322351817,24.3998647117332,15.7986563399279
10500,"Albany, GA Metro Area",2018,151158,188,156277,-0.0327559397736071,0.0012437317244208,3.22545659441388,-0.037969654756263,24.532220896958,13.8788387456859
10500,"Albany, GA Metro Area",2019,147384,402,152596,-0.0341555479829091,0.00272756879986973,7.16108490063926,-0.0798572694905835,24.472079106302,15.8165820034706
10500,"Albany, GA Metro Area",2021,146961,224,156997,-0.0639247883717523,0.001524213907091,3.96938841534827,-0.0238438631697454,24.5525025579176,14.2609454866329
10500,"Albany, GA Metro Area",2022,146387,202,152506,-0.0401230115536438,0.00137990395321989,3.58663053126361,-0.0343918340071503,24.5373578938451,14.0619942125544
10500,"Albany, GA Metro Area",2023,147062,183,151754,-0.0309184601394362,0.00124437312154057,3.22715779241052,-0.0402469306662976,24.5289512084853,13.8780545004479
10540,"Albany, OR Metro Area",2014,119356,393,NA,NA,0.00329267066590703,8.65992256730447,NA,NA,NA
10540,"Albany, OR Metro Area",2015,120547,365,NA,NA,0.00302786465030237,7.95756914325543,NA,NA,NA
10540,"Albany, OR Metro Area",2016,122849,405,NA,NA,0.00329673013211341,8.67068961873775,NA,NA,NA
10540,"Albany, OR Metro Area",2017,125047,539,NA,NA,0.00431037929738418,11.359223564565,NA,NA,NA
10540,"Albany, OR Metro Area",2018,127335,540,NA,NA,0.00424078218871481,11.1746289379428,NA,NA,NA
